Date,Open,High,Low,Close,Volume
2017/11/7 16:45,7046.132704,7055,7046.132704,7046.444819,0.67508933
2017/11/7 16:46,7046.444819,7055,7046.132711,7046.132711,0.14656332
2017/11/7 16:47,7046.132711,7057.760177,7046.132711,7057.760177,0.48814953
2017/11/7 16:48,7057.760177,7057.760177,7046,7046,0.24543212
2017/11/7 16:49,7046.132711,7051.966317,7046,7046,0.51510632
2017/11/7 16:50,7046,7051.966317,7038.592,7046.132711,0.26804724
2017/11/7 16:51,7046.132711,7051.966317,7038.592001,7051.966317,0.68379497
2017/11/7 16:52,7051.966317,7057.760177,7038.592001,7040.914603,0.25707217
2017/11/7 16:53,7040.914603,7060,7040.914603,7044.921396,0.91160727
2017/11/7 16:54,7044.921396,7058,7044.921396,7047,4.24584292
2017/11/7 16:55,7047,7058,7047,7047.000001,0.12449885
2017/11/7 16:56,7047.000001,7064.009481,7047.000001,7048.931838,4.10332639
2017/11/7 16:57,7058.75237,7064.009481,7048.931838,7051.82613,2.2453821
2017/11/7 16:58,7051.82613,7076.49221,7051.82613,7064.009481,2.15472814
2017/11/7 16:59,7064.009481,7083.038368,7064.009481,7083.038368,3.37291682
2017/11/7 17:00,7077.338115,7077.338115,7064.009482,7070,1.9006998
2017/11/7 17:01,7070,7076,7064.009483,7064.009483,0.27762465
2017/11/7 17:02,7064.009483,7076,7064.009483,7076,0.85040542
2017/11/7 17:03,7064.009484,7076,7064.009484,7068.670249,6.13570039
2017/11/7 17:04,7068.670249,7080,7068.670249,7076,3.30604168
2017/11/7 17:05,7076,7079,7069,7078.855252,1.68140798
2017/11/7 17:06,7070.789697,7070.789697,7064.1,7064.1,2.6343711
2017/11/7 17:07,7064.913271,7064.913272,7064.009481,7064.009481,1.19190254
2017/11/7 17:08,7064.1,7064.467288,7064.009481,7064.009481,2.75331654
2017/11/7 17:09,7064.467288,7064.467288,7062.1,7064.467288,1.27236099
2017/11/7 17:10,7064.467288,7070.789697,7062.1,7062.1,0.74142814
2017/11/7 17:11,7064,7069,7055.000001,7055.000001,0.76860503
2017/11/7 17:12,7069,7070.789697,7069,7070.789697,1.02796894
2017/11/7 17:13,7069.789697,7069.789697,7056.000901,7056.000901,0.09818073
2017/11/7 17:14,7062.1,7062.1,7056.000901,7062.1,1.77021012
2017/11/7 17:15,7060.402673,7062.1,7060.402673,7062.090001,1.03273099
2017/11/7 17:16,7062.1,7064.233821,7062.090001,7062.1,0.36129345
2017/11/7 17:17,7064.233821,7064.233821,7062.1,7062.100001,0.18084384
2017/11/7 17:18,7064.233821,7069.1,7062.1,7062.1,0.74160728
2017/11/7 17:19,7069.1,7069.1,7055,7060,0.2172199
2017/11/7 17:20,7060,7069,7060,7069,0.67993044
2017/11/7 17:21,7060,7060,7060,7060,0.33028436
2017/11/7 17:22,7069,7076.798735,7069,7069,2.36979699
2017/11/7 17:23,7069,7069,7069,7069,0.14747966
2017/11/7 17:24,7069,7076.798735,7063.600011,7063.600011,0.59236574
2017/11/7 17:25,7063.600011,7075,7063.600011,7063.600012,0.0606284
2017/11/7 17:26,7063.600012,7083.643128,7063.600012,7069,4.54942183
2017/11/7 17:27,7069,7083.643128,7069,7069.000001,0.80446351
2017/11/7 17:28,7083.815503,7084.591103,7083.643128,7084.591103,0.07387711
2017/11/7 17:29,7083.643128,7084.591103,7083.453533,7084.591103,0.03391592
2017/11/7 17:30,7084.591103,7093.15,7079.228422,7079.228422,2.23718262
2017/11/7 17:31,7083,7090,7083,7086,0.51634273
2017/11/7 17:32,7086,7095,7085.334196,7090,2.27796155
2017/11/7 17:33,7090,7095,7072.83912,7079.69,0.23258154
2017/11/7 17:34,7079.69,7093.34,7072.839121,7078.728557,1.51259024
2017/11/7 17:35,7078.728557,7089.999999,7072.83912,7080.999999,2.93178134
2017/11/7 17:36,7080.999999,7090,7080.999999,7085.532087,0.16201516
2017/11/7 17:37,7090,7100,7085.532087,7097.423624,16.73156312
2017/11/7 17:38,7097.423624,7100.3,7091.151875,7100.3,6.0061432
2017/11/7 17:39,7100.2,7100.999998,7100,7100,0.97378954
2017/11/7 17:40,7100,7110,7100,7110,2.2814798
2017/11/7 17:41,7103.249999,7110,7103.249999,7103.249999,1.04951533
2017/11/7 17:42,7109.999999,7110,7103.249999,7103.249999,0.72095393
2017/11/7 17:43,7110,7110,7103.249999,7103.249999,0.70518189
2017/11/7 17:44,7103.249999,7109,7094.009481,7094.009481,4.26748055
2017/11/7 17:45,7094.009481,7100,7094.009481,7100,1.79328637
2017/11/7 17:46,7095,7103.58,7095,7095.000001,0.32193273
2017/11/7 17:47,7095.000001,7102,7095.000001,7095.000001,0.09552922
2017/11/7 17:48,7102,7103.57,7095.000001,7103.57,0.55295975
2017/11/7 17:49,7100,7100,7095.000002,7099,0.03219255
2017/11/7 17:50,7102.9,7109,7099,7099,0.83570611
2017/11/7 17:51,7099.249999,7109,7099.249999,7099.249999,0.27669145
2017/11/7 17:52,7107,7112.00203,7107,7109,2.69081746
2017/11/7 17:53,7109,7118,7109,7110,1.61775631
