Date,Open,High,Low,Close,Volume
2018/1/1 0:00,13519.3518,13549,13518,13518,1.28666767
2018/1/1 0:01,13534.1006,13540.34944,13518,13530,2.54179171
2018/1/1 0:02,13518.1006,13533.62752,13518,13532,0.55925467
2018/1/1 0:03,13530.1006,13530.1006,13500,13500,2.63697366
2018/1/1 0:04,13500,13500,13499,13499,0.62220444
2018/1/1 0:05,13496.1006,13496.1006,13436.54334,13444.31783,4.70278824
2018/1/1 0:06,13475,13475,13444.31783,13444.31783,1.24287842
2018/1/1 0:07,13460.14808,13460.14808,13444.31783,13444.31783,1.10153869
2018/1/1 0:08,13460.09976,13460.09976,13412.79211,13449.31783,5.67528744
2018/1/1 0:09,13449.31783,13449.31783,13427.07243,13448.98449,3.97723804
2018/1/1 0:10,13460.31783,13475.1006,13419.91997,13475,2.82807314
2018/1/1 0:11,13451.09989,13475,13450,13475,2.37753841
2018/1/1 0:12,13450,13550.06274,13450,13482.31243,14.63637335
2018/1/1 0:13,13482.31243,13504.6006,13482.31243,13482.31243,1.51904121
2018/1/1 0:14,13504.6006,13504.6006,13475.77592,13475.77592,0.68169288
2018/1/1 0:15,13483.31243,13504.6006,13475.77592,13475.77592,1.56637999
2018/1/1 0:16,13501.10097,13501.10097,13475.77592,13501.10097,3.08669379
2018/1/1 0:17,13501.10097,13504.6006,13475.77692,13504.6006,4.34576399
2018/1/1 0:18,13504.6006,13504.6006,13475.77692,13475.77692,0.87117658
2018/1/1 0:19,13504.6006,13511.15107,13475.77692,13506,1.11768466
2018/1/1 0:20,13506,13528.10097,13482.7008,13497.12158,2.64813969
2018/1/1 0:21,13528.10097,13554.10097,13503.6193,13554.10097,4.90222504
2018/1/1 0:22,13538,13599,13538,13599,9.54811121
2018/1/1 0:23,13599,13631.10097,13559.72051,13615,8.2831611
2018/1/1 0:24,13615,13648,13615,13648,2.14439645
2018/1/1 0:25,13636,13668,13636,13668,4.42973383
2018/1/1 0:26,13668,13698,13653,13693.9692,2.73827927
2018/1/1 0:27,13693.9692,13700,13668,13668,4.02713355
2018/1/1 0:28,13670,13678.00973,13668,13668,2.86579787
2018/1/1 0:29,13668,13678.00973,13668,13678.00973,0.36842609
2018/1/1 0:30,13678.00973,13697.0887,13678.00973,13678.00973,6.26870106
2018/1/1 0:31,13690,13690,13668,13670.82089,2.01702802
2018/1/1 0:32,13671.01358,13682.01358,13658.9,13658.9,1.9434967
2018/1/1 0:33,13670.82089,13670.82089,13618.70419,13618.70419,1.45736082
2018/1/1 0:34,13618.70419,13650,13618.70419,13618.70419,5.82849376
2018/1/1 0:35,13650.82089,13656.01358,13618.70419,13650.82089,0.56607049
2018/1/1 0:36,13656.01358,13664.01358,13650.82089,13650.82089,0.12937594
2018/1/1 0:37,13641,13663.70419,13641,13663.70419,2.51086918
2018/1/1 0:38,13663.70419,13700,13657.23174,13664.42406,2.75454425
2018/1/1 0:39,13666,13700.16966,13666,13700.16966,1.68932296
2018/1/1 0:40,13700.16966,13721.01358,13666,13720,15.62621711
2018/1/1 0:41,13723.2606,13731.58734,13702,13725.58734,12.55051127
2018/1/1 0:42,13725.58734,13751.06941,13715,13751,13.2421817
2018/1/1 0:43,13751,13751,13666,13714.7257,6.35438059
2018/1/1 0:44,13714.7257,13739.7,13678.6,13705,1.06282063
2018/1/1 0:45,13705,13738,13704.32527,13720,6.96771255
2018/1/1 0:46,13720,13778.04622,13720,13774.88,4.79175057
